index,Disease,supplement_name,supplement_image,buy_link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRfq9MLrPL9tFkuFbGb98fMGDdl67v4I2iDLYCVprdsdGaXURCl9UNEr8v_65X1hKrYF5NjSvB01HOGexg-3CJxjkVSu9zPNJ2AunP09vPa0gjEILskTILx&usqp=CAE,https://agribegri.com/products/buy-propiconazole--25-ec-systematic-fungicide-online-.php
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTZZH2SUe7Hufpd49iFoF_04c96J-fZeywsYQXDb0gFerGOYyL7xPBxLN05LIx6s36u6C_qMvtescsDbrTEzniJp0yhfEsvJoTCMD7FDnI&usqp=CAE,https://krishibazaar.in/product/katyayani-boost-propiconazole-25-ec-fungicide
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://m.media-amazon.com/images/I/71piwsQ9rGL.jpg,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://5.imimg.com/data5/TX/BD/WS/SELLER-8819975/tapti-energy-1-lit-500x500.jpg,https://www.flipkart.com/green-yantra-tapti-booster-500-ml-manure/p/itmb65a5f4a23dc4
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://m.media-amazon.com/images/I/71gd5HWIv3L._SL1500_.jpg,https://lazygardener.in/products/greenstix?variant=30920527020087&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2019-10-29&utm_source=google&utm_medium=smart_campaign
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSeHlqcksdF25o8mv-fYxNOrfJkp4Ov2hgVf01w2aCed1WbyL604ubLtPAlB7rfNoHRtxbTljQvA7P3VRh8LM0XndFHWDqvC4kC4w-DLQiknnS3vRzAxTpP&usqp=CAE,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSpHb-xEa2rTSIEf5QtLMbax4zvRsTzD4kAwQ9Rcwr3AbDDQxUhmMmPJBVGLCAvczXrXAqwWKN-rReHwSR-XSGlsJRLvZOKRXHV-54uLhU_6EIuBq5BHXaAwg&usqp=CAE,https://plantic.in/products/organic-bloomdrop
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTm0wIanaB9OdUkuH9IJ-bHG_qyungwi2lWnmkFmze9VFU1yeSuRO3wImAhPfEJwuBZXPSEf5QwZhieERwrlE5H7lg_8bvf&usqp=CAE,https://www.bighaat.com/products/antracol?variant=14521365063&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT86avIdiTsKNdgo0Uss9r2tkn9pcx6VCGHeaubXDiR0u_fqqyXomgc1BBviREao7BM_eQiR6tbLCzUxG5VzS4du5DgwBVbtwSLuTEexpI&usqp=CAE,https://www.bighaat.com/products/3-star-m45-mancozeb-75-wp
10,Corn___Northern_Leaf_Blight,QUIT (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://5.imimg.com/data5/SELLER/Default/2021/1/NH/LH/BW/114005824/bayer-antracol-contact-fungicide.jpg,https://agribegri.com/products/buy-carbendazim-12--mancozeb-63-online--buy-fungicide-online.php
11,Corn___healthy,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),https://m.media-amazon.com/images/I/81fw9TlYskL._SL1500_.jpg,https://amzn.in/d/69WeRlv
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://th.bing.com/th/id/OIP.Z_ZTlHS_7aT9EsfCCmGO2AHaLE?rs=1&pid=ImgDetMain,https://southernag.com/product/captan-fungicide/
13,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,https://5.imimg.com/data5/UY/GY/VM/SELLER-67745601/aliette-fungicide.jpg,https://farmagritech.com/product/aliette-fungicide/?attribute_pa_size=100gm&utm_source=Google%20Shopping&utm_campaign=Google%20shopping%20feed%201&utm_medium=cpc&utm_term=2578
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Tebulur Tebuconazole 10% + Sulphur 65% WG , Advance Broad Spectrum Premix Fungicides",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQPzI0SnMtb60x2D1gGkRHsvD1j7NRl8Y7pjuIyuyrTxdpvUOpci7NxHWxt4Gfn3ETrCrgWKvGPH-jmbboE2vi4b4MiTq3kZKMdHFUSctUmXcH9ZRed0j4-&usqp=CAE,https://agribegri.com/products/buy-tebuconazole-10--sulphur-65-wg-online--online-agro-store.php
15,Grape___healthy,Sansar Green Grapes Fertilizer Fertilizer,https://rukminim1.flixcart.com/image/416/416/k51cpe80/soil-manure/4/m/h/400-grapes-fertilizer-sansar-green-original-imafntdujntbdner.jpeg?q=70,https://amzn.in/d/0Hhsqcj
16,Orange___Haunglongbing_(Citrus_greening),Green Dews CITRUS PLANT FOOD Fertilizer ,https://hfnlife.com/cdn/shop/products/a58293576ddb79eae7933c289cb5569a_1024x.jpg?v=1673592062,https://www.flipkart.com/green-dews-citrus-plant-food-fertilizer/p/itmffde2heg7hkq2?pid=SMNFFBY9Z8DVTXMB&lid=LSTSMNFFBY9Z8DVTXMBEL4PDT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
17,Peach___Bacterial_spot,SCORE FUNGICIDE,https://5.imimg.com/data5/SELLER/Default/2023/2/VL/KI/AH/43080611/syngenta-score-fungicide-1000x1000.jpg,https://www.bighaat.com/products/score-fungicide?variant=27949138149399&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
18,Peach___healthy,Jeevamrut (Plant Growth Tonic),https://150k.nurserylive.com/images/stories/virtuemart/product/nurserylive-jeevamrut-plant-growth-tonic-250-ml.jpg,https://nurserylive.com/products/jeevamrut-plant-growth-tonic-250-ml-for-garden?variant=34163328811148
19,"Pepper,_bell___Bacterial_spot",Systemic Fungicide (Domark) Tetraconazole 3.8% w/w (4% w/v) EW,https://5.imimg.com/data5/WZ/EW/OK/SELLER-178909/domark-tetraconazole-3-8-ew-fungicides-1000x1000.jpg,https://agribegri.com/products/buy-systemic-fungicide-online--tetraconazole-38--domark-.php
20,"Pepper,_bell___healthy",Casa De Amor Organic Potash Fertilizer,https://m.media-amazon.com/images/I/61Dj-4-f8hL._SL1001_.jpg,https://www.casagardenshop.com/products/organic-potash-fertilizer-for-gardening-improves-size-of-flowers-fruits-and-vegetables-by-casa-de-amor-1-kg-1?variant=40073291088&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-02-08&utm_source=google&utm_medium=smart_campaign
21,Potato___Early_blight,Parin Herbal Fungicides (With Turmeric Extract),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQzAaBb9Tc2B0iXiYc08qD2WM4vjAz4TZHI6qwj-D7nck2bbtYQUnnODSqPSK_Vz5NR1Am8aRbc2Rd0anzqgVKWq-0OlZ6wkjE-3x0jXihQ9F0kO8nJu7FT&usqp=CAE,https://www.indiamart.com/proddetail/herbo-eraser-herbal-bactericide-cum-fungicide-9048850373.html
22,Potato___Late_blight,Syngenta Ridomil gold Fungicide ,https://afrimash.com/wp-content/uploads/2020/10/ridomil-gold-1233x1536.png,https://krushikendra.com/Buy-Syngenta-Ridomil-gold-Fungicide-250%20gram
23,Potato___healthy,Saosis Fertilizer for potato Fertilizer,https://rukminim1.flixcart.com/image/416/416/kfvfwy80/soil-manure/6/p/g/30-fertilizer-for-potato-saosis-original-imafw8b3sgcyrhh4.jpeg?q=70,"https://www.flipkart.com/saosis-fertilizer-potato/p/itmc40dfbfcd49f7?pid=SMNFW8B3DTY2V6PG&lid=LSTSMNFW8B3DTY2V6PGHC2BXS&marketplace=FLIPKART&cmpid=content_soil-manure_730597647_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,476044024748,,,,c,,,,,,,&ef_id=Cj0KCQjwsLWDBhCmARIsAPSL3_3TcmjyWFqJEZtCD0SQiDb9UFyESkiYtgU35W5Qs_KnTCkDS_Px2Y4aArmBEALw_wcB:G:s&s_kwcid=AL!739!3!476044024748!!!g!293946777986!&gclsrc=aw.ds"
24,Raspberry___healthy,"Karen's Naturals, Organic Just Raspberries",https://www.shopkarensnaturals.com/cdn/shop/products/organic-just-raspberries-476271_grande.jpg?v=1630519210,https://in.iherb.com/pr/Karen-s-Naturals-Organic-Just-Raspberries-1-5-oz-42-g/37730?gclsrc=ds
25,Soybean___healthy,Max Crop Liquid Fertilizer,https://m.media-amazon.com/images/I/71Ey8PxNB1L._AC_SL1500_.jpg,https://www.amazon.in/stores/BombayGreens-Sowgroweatrepeat/page/C4AF4A41-7A2B-4D8E-A93C-300D8DA64787?_encoding=UTF8
26,Squash___Powdery_mildew,No powdery mildew 1 quart,https://cdn.shopify.com/s/files/1/1667/9587/products/415B_2BfINScL.jpg?v=1536320654,https://www.amazon.in/stores/DeHaatBageecha/page/D832464A-639A-4D1D-890A-FD38B21896BA?_encoding=UTF8
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All in 1 Organic Fungicide,https://agribegri.com/productimage/7c94694109f2bc586189c695818111d2-04-12-23-16-09-35.jpg,https://agribegri.com/products/buy-organic-fungicide-online--organic-fungicide-with-best-rate-.php
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://n1.sdlcdn.com/imgs/i/5/x/SWISS-GREEN-Organic-Plant-Growth-SDL289367307-1-54ccb.jpeg,https://www.flipkart.com/swiss-green-organic-plant-growth-promoter-strawberry-fertilizer-manure/p/itmcaf7955b802fa?pid=SMNFM3TT2RNZEQYD&lid=LSTSMNFM3TT2RNZEQYDIGMSRD&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRKHQh4EwbE0ksZ_RTOhsGtvTO68zllR9djrYvUrZ-DO6FYo2kYpmyFL8UgaK6aiHJuUWbkax_uhcxMpGfwSHa2CKWqaIZnFp1vIRbGkrZhtGv-Zq-72y61&usqp=CAE,https://agribegri.com/products/cureal---best-fungicide--bactericide-zinc-based-250-ml.php
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://5.imimg.com/data5/FK/TI/UH/SELLER-6399641/nativo-fungicides-500x500.jpg,https://farmagritech.com/product/nativo-fungicide/?attribute_pa_size=50gm&utm_source=Google%20Shopping&utm_campaign=Google%20shopping%20feed%201&utm_medium=cpc&utm_term=1326
